当前股票 603733 股票名字 仙鹤股份 评级为: A- .............. i =1 , i的余数为 1
当前股票 000816 股票名字 智慧农业 评级为: D+ .............. i =2 , i的余数为 0
当前股票 600610 股票名字 中毅达 评级为: B  .............. i =3 , i的余数为 1
当前股票 002052 股票名字 同洲电子 评级为: C- .............. i =4 , i的余数为 0
当前股票 300537 股票名字 广信材料 评级为: A- .............. i =5 , i的余数为 1
当前股票 603876 股票名字 鼎胜新材 评级为: B- .............. i =6 , i的余数为 0
当前股票 002931 股票名字 锋龙股份 评级为: A  .............. i =7 , i的余数为 1
当前股票 603301 股票名字 振德医疗 评级为: B+ .............. i =8 , i的余数为 0
当前股票 603773 股票名字 沃格光电 评级为: A+ .............. i =9 , i的余数为 1
当前股票 603929 股票名字 亚翔集成 评级为: D- .............. i =10 , i的余数为 0
当前股票 002848 股票名字 高斯贝尔 评级为: B  .............. i =11 , i的余数为 1
当前股票 002806 股票名字 华锋股份 评级为: A- .............. i =12 , i的余数为 0
当前股票 300657 股票名字 弘信电子 评级为: A  .............. i =13 , i的余数为 1
当前股票 603160 股票名字 汇顶科技 评级为: A  .............. i =14 , i的余数为 0
当前股票 603421 股票名字 鼎信通讯 评级为: A- .............. i =15 , i的余数为 1
当前股票 300612 股票名字 宣亚国际 评级为: B  .............. i =16 , i的余数为 0
当前股票 603429 股票名字 集友股份 评级为: A  .............. i =17 , i的余数为 1
当前股票 300077 股票名字 国民技术 评级为: C  .............. i =18 , i的余数为 0
当前股票 000687 股票名字 华讯方舟 评级为: B- .............. i =19 , i的余数为 1
当前股票 600876 股票名字 洛阳玻璃 评级为: B+ .............. i =20 , i的余数为 0
当前股票 300104 股票名字 乐视网 评级为: C- .............. i =21 , i的余数为 1
当前股票 600562 股票名字 国睿科技 评级为: B+ .............. i =22 , i的余数为 0
当前股票 600536 股票名字 中国软件 评级为: B  .............. i =23 , i的余数为 1
当前股票 300739 股票名字 明阳电路 评级为: A  .............. i =24 , i的余数为 0
当前股票 300661 股票名字 圣邦股份 评级为: A+ .............. i =25 , i的余数为 1
当前股票 002049 股票名字 紫光国芯 评级为: A- .............. i =26 , i的余数为 0
当前股票 002677 股票名字 浙江美大 评级为: A  .............. i =27 , i的余数为 1
当前股票 000820 股票名字 神雾节能 评级为: A- .............. i =28 , i的余数为 0
当前股票 002759 股票名字 天际股份 评级为: B+ .............. i =29 , i的余数为 1
当前股票 002436 股票名字 兴森科技 评级为: B  .............. i =30 , i的余数为 0
当前股票 603168 股票名字 莎普爱思 评级为: B+ .............. i =31 , i的余数为 1
当前股票 603616 股票名字 韩建河山 评级为: D+ .............. i =32 , i的余数为 0
当前股票 600797 股票名字 浙大网新 评级为: B- .............. i =33 , i的余数为 1
当前股票 002209 股票名字 达意隆 评级为: D+ .............. i =34 , i的余数为 0
当前股票 600198 股票名字 大唐电信 评级为: C- .............. i =35 , i的余数为 1
当前股票 603618 股票名字 杭电股份 评级为: B- .............. i =36 , i的余数为 0
当前股票 600680 股票名字 *ST上普 评级为: C- .............. i =37 , i的余数为 1
当前股票 002815 股票名字 崇达技术 评级为: A+ .............. i =38 , i的余数为 0
当前股票 000025 股票名字 特力Ａ 评级为: D- .............. i =39 , i的余数为 1
当前股票 300630 股票名字 普利制药 评级为: A+ .............. i =40 , i的余数为 0
当前股票 300139 股票名字 晓程科技 评级为: D+ .............. i =41 , i的余数为 1
当前股票 000856 股票名字 冀东装备 评级为: B  .............. i =42 , i的余数为 0
当前股票 300236 股票名字 上海新阳 评级为: B+ .............. i =43 , i的余数为 1
当前股票 600498 股票名字 烽火通信 评级为: A  .............. i =44 , i的余数为 0
当前股票 300128 股票名字 锦富技术 评级为: C+ .............. i =45 , i的余数为 1
当前股票 300613 股票名字 富瀚微 评级为: A+ .............. i =46 , i的余数为 0
当前股票 000670 股票名字 盈方微 评级为: C- .............. i =47 , i的余数为 1
当前股票 002803 股票名字 吉宏股份 评级为: A  .............. i =48 , i的余数为 0
当前股票 603986 股票名字 兆易创新 评级为: A+ .............. i =49 , i的余数为 1
当前股票 600770 股票名字 综艺股份 评级为: B- .............. i =50 , i的余数为 0
当前股票 002350 股票名字 北京科锐 评级为: B+ .............. i =51 , i的余数为 1
当前股票 002409 股票名字 雅克科技 评级为: B  .............. i =52 , i的余数为 0
当前股票 600521 股票名字 华海药业 评级为: A+ .............. i =53 , i的余数为 1
当前股票 002559 股票名字 亚威股份 评级为: B  .............. i =54 , i的余数为 0
当前股票 300656 股票名字 民德电子 评级为: A  .............. i =55 , i的余数为 1
当前股票 002702 股票名字 海欣食品 评级为: D+ .............. i =56 , i的余数为 0
当前股票 002390 股票名字 信邦制药 评级为: B+ .............. i =57 , i的余数为 1
